2025-09-05 23:27:25 | INFO | MainThread | Scheduled mode: will record every Friday 21:00–01:00 Europe/Berlin
2025-09-05 23:27:25 | INFO | MainThread | Next window: 2025-09-12 21:00:00+02:00 -> 2025-09-13 01:00:00+02:00 (Europe/Berlin)
2025-09-05 23:27:40 | INFO | MainThread | Received signal 2. Stopping...
2025-09-05 23:27:40 | INFO | MainThread | Wait aborted by stop event
2025-09-05 23:27:40 | INFO | MainThread | Recorder stopped.
2025-09-05 23:27:46 | INFO | MainThread | Scheduled mode: will record every Friday 21:00–01:00 Europe/Berlin
2025-09-05 23:27:46 | INFO | MainThread | Next window: 2025-09-12 21:00:00+02:00 -> 2025-09-13 01:00:00+02:00 (Europe/Berlin)
2025-09-05 23:28:16 | INFO | MainThread | Received signal 2. Stopping...
2025-09-05 23:28:16 | INFO | MainThread | Wait aborted by stop event
2025-09-05 23:28:16 | INFO | MainThread | Recorder stopped.
2025-09-05 23:28:19 | INFO | MainThread | Immediate mode: recording until 2025-09-06 03:28:19.847152+02:00
2025-09-05 23:28:19 | INFO | recorder-a | [recorder-a] Writing to C:\Users\RAVEN/Desktop/streams\planet_radio_nightwax_2025-09-05_a.aac
2025-09-05 23:28:19 | INFO | recorder-b | [recorder-b] Writing to C:\Users\RAVEN/Desktop/streams\planet_radio_nightwax_2025-09-05_b.aac
2025-09-05 23:28:19 | INFO | recorder-a | [recorder-a] Connecting to stream...
2025-09-05 23:28:19 | INFO | recorder-b | [recorder-b] Connecting to stream...
2025-09-05 23:28:21 | INFO | recorder-a | [recorder-a] Connected. Recording...
2025-09-05 23:28:21 | INFO | recorder-b | [recorder-b] Connected. Recording...
2025-09-05 23:28:55 | INFO | MainThread | Received signal 2. Stopping...
2025-09-05 23:28:56 | INFO | MainThread | Recording session finished.
